CdTbl,CdVal,CdDesc
BLDG,T0T,TRANSPORTATION TERMINAL
BLDG,T0V,TANK
BLDG,T0W,SUBWAY
BLDG,T11,BOAT DOCK
BLDG,TA0,AIRPORT
BLDG,TAH,AIRPORT HANGAR
BLDG,TAP,AIRPORT PRIVATE
BLDG,TAT,AIRPORT TERMINAL
BLDG,TB0,BUS
BLDG,TBG,BUS GARAGE
BLDG,TBR,BUS SHELTER
BLDG,TBT,BUS TERMINAL
BLDG,TCT,COMMUTER TERMINAL
BLDG,TD0,PORT
BLDG,TH0,HANGAR
BLDG,THA,HANGAR AIRCRAFT
BLDG,THM,HANGAR MAINTENANCE
BLDG,TPT,PASSENGER TERMINAL
BLDG,TR0,RAILROAD
BLDG,TR2,RAILROAD PROPERTY
BLDG,TRB,RAILROAD SPUR
BLDG,TRT,RAILROAD TERMINAL
BLDG,TS0,TRANSIT
BLDG,TSC,RAILROAD STATION
BLDG,TST,TRANSIT TERMINAL
BLDG,TTC,TRUCK SCALES
BLDG,TTD,TRUCK DOCK
BLDG,TTF,TRUCK FIRM
BLDG,TTG,TRUCK GARAGE
BLDG,TTM,TRUCK MAINTENANCE
BLDG,TTT,TRUCK TERMINAL
BLDG,TTU,TRUCK STOP
BLDG,TU0,APARTMENT & OFFICE
BLDG,TW0,TRANSPORTATION WAREHOUSE
BLDG,TWS,WAREHOUSE TRANSIT
BLDG,TWT,TRANSIT WAREHOUSE
BLDG,U00,INDUSTRIAL
BLDG,U05,ASSEMBLY
BLDG,U0A,PLANT
BLDG,U0B,BREWERY
BLDG,U0D,DISTRIBUTION
BLDG,U0F,FACTORY
BLDG,U0H,INDUSTRIAL HEAVY
BLDG,U0K,COLD STORAGE
BLDG,U0L,INDUSTRIAL LIGHT
BLDG,U0M,METAL
BLDG,U0O,INDUSTRIAL OFFICE
BLDG,U0P,PROCESSING
BLDG,U0Q,FREEZER
BLDG,U0R,CANNERIES
BLDG,U0S,STORAGE TANK
BLDG,U0W,WINERY BREWERY
BLDG,U0X,INDUSTRIAL CONDO
BLDG,U0Z,STORAGE
BLDG,U21,FUEL SUPPLY
BLDG,U2Z,FUEL STORAGE
BLDG,U30,NATURAL GAS
BLDG,U3C,NATURAL GAS FACILITY
BLDG,U3Z,NATURAL GAS STORAGE
BLDG,U4Z,BULK STORAGE
BLDG,U5W,WINERY/BREWERY PLANT
BLDG,U60,OIL
BLDG,U80,PACKING PLANT
BLDG,U85,TERMINAL TRANSIT
BLDG,U87,TRUCK TERMINAL
BLDG,U8K,PACKING PLANT COLD STORAGE
BLDG,UB0,BOTTLING
BLDG,UBA,BOTTLING PLANT
BLDG,UBB,BOTTLING BREWERY
BLDG,UC0,CHEMICAL
BLDG,UC9,CHEMICAL MANFACTURER
BLDG,UCA,CHEMICAL PLANT
BLDG,UCZ,CHEMICAL STORAGE
BLDG,UD0,FABRICATION
BLDG,UDM,FABRICATING METAL
BLDG,UE0,PRODUCTION
BLDG,UFD,FOOD DISTRIBUTION
BLDG,UFP,FOOD PROCESSING
BLDG,UFY,FOOD SERVICE
BLDG,UFZ,FOOD STORAGE
BLDG,UG8,PAPER MANUFACTURER
BLDG,UIY,CONTRACTING SERVICE
BLDG,UK0,PIPELINE
BLDG,UKE,PIPELINE PUMP STATION
BLDG,UM0,MANUFACTURING
BLDG,UM4,MANUFACTURING APPAREL
BLDG,UM6,MANUFACTURING AUTO PARTS
BLDG,UM7,MANUFACTURING GLASS
BLDG,UMA,MANUFACTURING PLANT
BLDG,UMG,MANUFACTURING GAS
BLDG,UMH,MANUFACTURING HEAVY
BLDG,UML,MANUFACTURING LIGHT
BLDG,UMM,METAL MANUFACTURING
BLDG,UMN,MINI WAREHOUSE
BLDG,UMO,MANUFACTURING
BLDG,UMP,MANUFACTURING PROCESSING
BLDG,UMT,MANUFACTURING CONCRETE
BLDG,UMU,MANUFACTURING FOOD
BLDG,UMZ,WAREHOUSE STORAGE
BLDG,UN0,MINING
BLDG,UO0,OTHER
BLDG,UOF,FACTORY
BLDG,UOL,INDUSTRIAL LIGHT
BLDG,UP0,PETROLEUM
BLDG,UPD,PETROLEUM DISTRIBUTION
BLDG,UPE,PETROLEUM PUMP STATION
BLDG,UPZ,PETROLEUM STORAGE
BLDG,UR0,RESEARCH
BLDG,URJ,RESEARCH & DEVELOPMENT
BLDG,US0,SAWMILL
BLDG,UT0,INDUSTRIAL TERMINAL
BLDG,UU0,INDUSTRIAL OFFICE
BLDG,UV8,WOOD MANUFACTURER
BLDG,UVP,WOOD PROCESSING
BLDG,UW0,WAREHOUSE
BLDG,UW8,WAREHOUSE MANUFACTURING
BLDG,UWD,WAREHOUSE DISTRIBUTION
BLDG,UWF,FACTORY/WAREHOUSE
BLDG,UWI,WAREHOUSE PREFAB
BLDG,UWK,COLD STORAGE WAREHOUSE
BLDG,UWM,WAREHOUSE
BLDG,UWN,MINI WAREHOUSE
BLDG,UWO,OFFICE WAREHOUSE
BLDG,UWP,WAREHOUSE PROCESSING
BLDG,UWX,WAREHOUSE CONDO
BLDG,UWZ,WAREHOUSE STORAGE
BLDG,UX0,LABORATORY
BLDG,UX9,LABORATORY/RESEARCH
BLDG,UZ0,PROPANE
BLDG,UZX,CONDO WAREHOUSE
BLDG,X00,MIXED TYPE
BLDG,X01,GROUP HOME
BLDG,X03,CHIROPRACTIC
BLDG,X05,EDUCATION
BLDG,X06,SORORITY
BLDG,X08,HISTORICAL
BLDG,X09,LECTURE HALL
BLDG,X0A,AUDITORIUM/GYMNASIUM
BLDG,X0B,CLASSROOMS
BLDG,X0D,CENTER
BLDG,X0F,EXEMPT
BLDG,X0H,CONVALESCENT
BLDG,X0I,PRE-SCHOOL
BLDG,X0J,OFFICE MEDICAL
BLDG,X0K,DENTAL
BLDG,X0L,MEDICAL DENTAL
BLDG,X0M,HOME
BLDG,X0N,PARSONAGE
BLDG,X0O,PARK
BLDG,X0S,SANITARIUM
BLDG,X0T,MUSEUM
BLDG,X0U,UNIVERSITY
BLDG,X0V,VETERINARIAN
BLDG,X0Y,PHARMACY
BLDG,X0Z,ASSISTED LIVING
BLDG,X10,MEDICAL
BLDG,X1D,MEDICAL CENTER
BLDG,X2D,SURGICAL CENTER
BLDG,X30,NURSERY
BLDG,X40,REHABILATATION
BLDG,X4D,REHABILATATION CENTER
BLDG,X5D,AMENITY CENTER
BLDG,X60,HOSPICE
BLDG,X70,CREMATORIUM
BLDG,X9J,OFFICE MEDICAL
BLDG,X9K,OFFICE DENTAL
BLDG,X9L,MEDICAL DENTAL OFFICE
BLDG,X9V,VETERINARIAN OFFICE
BLDG,XA0,CHARITABLE
BLDG,XB0,COLLEGE
BLDG,XBB,COLLEGE CLASSROOM
BLDG,XBP,COLLEGE PUBLIC
BLDG,XBQ,COLLEGE PRIVATE
BLDG,XBU,COLLEGE UNIVERSITY
BLDG,XC0,CHURCH/SYNAGOGUE
BLDG,XCP,COLLEGE PUBLIC
BLDG,XD0,DAY CARE
BLDG,XDB,DAY CARE & CLASSROOM
BLDG,XDD,DAY CARE CENTER
BLDG,XDI,DAY CARE & PRESCHOOL
BLDG,XE0,HOSPITAL
BLDG,XEG,HOSPITAL ANIMAL
BLDG,XEH,HOSPITAL CONVALESCENT
BLDG,XEP,HOSPITAL PUBLIC
BLDG,XEQ,HOSPITAL PRIVATE
BLDG,XEV,VETERINARY HOSPITAL
